category,query_term,nasa_id,title,description,center,img_url,date
Planet,Mercury,PIA16908,"Mercury, Mercury! ","Mercury, Mercury! ",JPL,https://images-assets.nasa.gov/image/PIA16908/PIA16908~medium.jpg,2013-03-29T17:00:35Z
Planet,Mercury,PIA17855,Mercury in Bronze,Mercury in Bronze,JPL,https://images-assets.nasa.gov/image/PIA17855/PIA17855~medium.jpg,2014-01-08T19:03:49Z
Planet,Mercury,PIA12262,"Hello, Mercury!","Hello, Mercury!",JPL,https://images-assets.nasa.gov/image/PIA12262/PIA12262~small.jpg,2009-09-25T17:00:00Z
Planet,Mercury,PIA11406,Mercury in Color!,Mercury in Color!,JPL,https://images-assets.nasa.gov/image/PIA11406/PIA11406~thumb.jpg,2008-10-29T18:28:13Z
Planet,Mercury,PIA18532,Fireworks on Mercury!,Fireworks on Mercury!,JPL,https://images-assets.nasa.gov/image/PIA18532/PIA18532~thumb.jpg,2014-07-04T17:00:38Z
Planet,Mercury,PIA17622,Crescent Mercury,Crescent Mercury,JPL,https://images-assets.nasa.gov/image/PIA17622/PIA17622~small.jpg,2013-11-01T15:45:36Z
Planet,Mercury,PIA16866,Breaking Mercury,Breaking Mercury,JPL,https://images-assets.nasa.gov/image/PIA16866/PIA16866~thumb.jpg,2013-03-06T19:49:47Z
Planet,Mercury,PIA11773,Volcanism on Mercury,Volcanism on Mercury,JPL,https://images-assets.nasa.gov/image/PIA11773/PIA11773~medium.jpg,2009-01-20T00:50:17Z
Planet,Mercury,PIA14530,Mercury Smile,Mercury Smile,JPL,https://images-assets.nasa.gov/image/PIA14530/PIA14530~medium.jpg,2011-08-05T21:32:30Z
Planet,Mercury,PIA15642,Revelations on Mercury,Revelations on Mercury,JPL,https://images-assets.nasa.gov/image/PIA15642/PIA15642~medium.jpg,2012-05-02T16:00:51Z
Planet,Mercury,PIA15863,Mercury Kidney,Mercury Kidney,JPL,https://images-assets.nasa.gov/image/PIA15863/PIA15863~medium.jpg,2012-06-18T17:28:31Z
